track_title,artist
"Baby, I Love You","Andy Kim"
"The Ballad Of John And Yoko","Beatles, The"
"Get Back","Beatles, The"
"Spinning Wheel","Blood, Sweat & Tears"
"Bad Moon Rising","Creedence Clearwater Revival"
"Love Theme From Romeo & Juliet","Henry Mancini, His Orchestra and Chorus"
"What Does It Take (To Win Your Love)","Jr. Walker & the All Stars"
"Too Busy Thinking About My Baby","Marvin Gaye"
"Good Morning Starshine",Oliver
"My Cherie Amour","Stevie Wonder"
One,"Three Dog Night"
"Crystal Blue Persuasion","Tommy James and the Shondells"
"Color Him Father","Winstons, The"
"In The Year 2525 (Exordium & Terminus)","Zager & Evans"
